Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,API dev_boalf_5,1,0,178.1310000224039,178.1310000224039,178.1310000224039,178.1310000224039,3836.0,0.02896854854193919,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,API prod_boalf_5,3,0,150.0,129.23573599740243,73.97587498417124,168.1043750140816,3828.0,0.08690564562581757,0.0,150,150,170,170,170,170,170,170,170,170,170
GET,API prod_pn_50000,2,0,27000.0,30162.701270499383,26979.264749999857,33346.13779099891,26488224.0,0.05793709708387838,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
,Aggregated,6,0,170.0,10148.540124835563,73.97587498417124,33346.13779099891,8831961.333333334,0.17381129125163514,0.0,180,180,27000,27000,33000,33000,33000,33000,33000,33000,33000
