Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1678413484,2,,Aggregated,0.666667,0.000000,170,170,180,180,180,180,180,180,180,180,180,3,0,170.0,163.95411101014665,145.62695799395442,178.1310000224039,3830.6666666666665
1678413485,2,,Aggregated,0.666667,0.000000,170,170,180,180,180,180,180,180,180,180,180,3,0,170.0,163.95411101014665,145.62695799395442,178.1310000224039,3830.6666666666665
1678413486,2,,Aggregated,0.666667,0.000000,170,170,180,180,180,180,180,180,180,180,180,3,0,170.0,163.95411101014665,145.62695799395442,178.1310000224039,3830.6666666666665
1678413487,2,,Aggregated,0.666667,0.000000,170,170,180,180,180,180,180,180,180,180,180,3,0,170.0,163.95411101014665,145.62695799395442,178.1310000224039,3830.6666666666665
1678413488,2,,Aggregated,0.666667,0.000000,170,170,180,180,180,180,180,180,180,180,180,3,0,170.0,163.95411101014665,145.62695799395442,178.1310000224039,3830.6666666666665
1678413489,2,,Aggregated,0.666667,0.000000,170,170,180,180,180,180,180,180,180,180,180,3,0,170.0,163.95411101014665,145.62695799395442,178.1310000224039,3830.6666666666665
1678413490,2,,Aggregated,0.666667,0.000000,170,170,180,180,180,180,180,180,180,180,180,3,0,170.0,163.95411101014665,145.62695799395442,178.1310000224039,3830.6666666666665
1678413491,2,,Aggregated,0.000000,0.000000,180,180,27000,27000,27000,27000,27000,27000,27000,27000,27000,4,0,170.0,6867.781770757574,145.62695799395442,26979.264749999857,6624929.0
1678413492,2,,Aggregated,0.000000,0.000000,180,180,27000,27000,27000,27000,27000,27000,27000,27000,27000,4,0,170.0,6867.781770757574,145.62695799395442,26979.264749999857,6624929.0
1678413493,2,,Aggregated,0.000000,0.000000,170,180,180,27000,27000,27000,27000,27000,27000,27000,27000,5,0,170.0,5509.020591602894,73.97587498417124,26979.264749999857,5300708.8
